X,Y,ADJG,B_ERR,BOUGUER,COORD_ERR,DAY,DEPTH,DEPTH_ERR,DEPTH_TYPE,ELEV,ELEV_ERR,FA_ERR,FREEAIR,G_ERR,PROJ,STATUS,STN,STN_TYPE,TC,TC_ERR,TIME
-117.021334,56.951734,981495.7,1.11,-70.3,100,08-Aug-67,0,0,1,537.06,3,1.05,-10.18,0.5,1967006,1,14675,1,0,0,1800
-116.761327,56.971743,981466.4,1.11,-79.35,100,08-Aug-67,0,0,1,648.61,3,1.05,-6.74,0.5,1967006,1,14680,1,0,0,1854
-116.739665,57.081744,981494.2,1.11,-76.7,100,08-Aug-67,0,0,1,566.93,3,1.05,-13.24,0.5,1967006,1,14681,1,0,0,1904
-116.883007,57.13674,981521.6,1.11,-69.6,100,08-Aug-67,0,0,1,486.77,3,1.05,-15.1,0.5,1967006,1,14682,1,0,0,1913
-117.38303,56.946729,981510.9,1.11,-69.18,100,09-Aug-67,0,0,1,463.3,3,1.05,-17.31,0.5,1967006,1,14702,1,0,0,1728
-117.529711,57.131729,981543.7,1.11,-61.75,100,07-Aug-67,0,0,1,412.09,3,1.05,-15.62,0.5,1967006,1,16382,1,0,0,2407
-117.566378,57.090062,981522,1.11,-65.94,100,07-Aug-67,0,0,1,483.72,3,1.05,-11.78,0.5,1967006,1,16383,1,0,0,2414
-117.564706,57.035063,981514.7,1.11,-68.99,100,07-Aug-67,0,0,1,482.19,3,1.05,-15.01,0.5,1967006,1,16384,1,0,0,2427
-116.51132,57.073412,981460.7,1.11,-78.38,100,01-Jan-01,0,0,1,725.42,3,1.05,2.83,0.5,1967006,1,9099,1,0,0,0
-115.267882,57.035098,981506.7,1.11,-76.75,100,22-Jul-67,0,0,1,483.41,3,1.05,-22.63,0.5,1967006,1,12525,1,0,0,1626
-115.454559,57.068431,981499.1,1.11,-78.01,100,22-Jul-67,0,0,1,529.74,3,1.05,-18.7,0.5,1967006,1,12526,1,0,0,1639
-115.669583,57.106765,981471.9,1.11,-79.46,100,22-Jul-67,0,0,1,676.96,3,1.05,-3.67,0.5,1967006,1,12527,1,0,0,1654
-115.494568,57.170096,981506.3,1.11,-77.6,100,22-Jul-67,0,0,1,537.97,3,1.05,-17.37,0.5,1967006,1,12528,1,0,0,1712
-115.847929,57.125094,981459,1.11,-76.93,100,22-Jul-67,0,0,1,763.22,3,1.05,8.51,0.5,1967006,1,12538,1,0,0,2002
-115.877927,57.046763,981456.9,1.11,-72.43,100,22-Jul-67,0,0,1,763.83,3,1.05,13.08,0.5,1967006,1,12539,1,0,0,2014
-115.926268,56.986764,981456,1.11,-70.22,100,22-Jul-67,0,0,1,754.38,3,1.05,14.23,0.5,1967006,1,12540,1,0,0,2022
-115.732916,56.96177,981447.4,1.11,-73.58,100,22-Jul-67,0,0,1,770.53,3,1.05,12.68,0.5,1967006,1,12541,1,0,0,2038
-115.462897,56.998433,981494.4,1.11,-74.99,100,22-Jul-67,0,0,1,539.5,3,1.05,-14.6,0.5,1967006,1,12542,1,0,0,2050
-116.587995,57.125078,981493.7,1.11,-76,100,08-Aug-67,0,0,1,591.31,3,1.05,-9.8,0.5,1967006,1,14685,1,0,0,1946
-116.366307,57.161748,981503.5,1.11,-69.89,100,08-Aug-67,0,0,1,587.96,3,1.05,-4.07,0.5,1967006,1,14686,1,0,0,2027
-116.184627,57.175085,981510,1.11,-70.48,100,08-Aug-67,0,0,1,557.48,3,1.05,-8.07,0.5,1967006,1,14698,1,0,0,2238
-116.09461,57.063427,981488,1.11,-67.32,100,08-Aug-67,0,0,1,638.56,3,1.05,4.17,0.5,1967006,1,14699,1,0,0,2259
-116.272963,57.061754,981477.5,1.11,-67.68,100,08-Aug-67,0,0,1,689.46,3,1.05,9.5,0.5,1967006,1,14700,1,0,0,2308
-114.762825,56.92343,981459,1.11,-91.54,100,02-Jul-67,0,0,1,603.81,3,1.05,-23.95,0.5,1967006,1,10259,1,0,0,2025
-114.569478,56.856762,981465.6,1.11,-78.87,100,02-Jul-67,0,0,1,606.55,3,1.05,-10.97,0.5,1967006,1,10260,1,0,0,2036
-114.189449,56.776759,981456.6,1.11,-71.53,100,02-Jul-67,0,0,1,655.93,3,1.05,1.9,0.5,1967006,1,10261,1,0,0,2129
-114.904502,56.746767,981424.7,1.11,-98.6,100,21-Jul-67,0,0,1,667.82,3,1.05,-23.84,0.5,1967006,1,10496,1,0,0,1555
-114.412801,56.880093,981475.9,1.11,-73.98,100,02-Jul-67,0,0,1,588.87,3,1.05,-8.06,0.5,1967006,1,12260,1,0,0,2019
-114.342791,56.750089,981441.7,1.11,-72.48,100,02-Jul-67,0,0,1,715.67,3,1.05,7.64,0.5,1967006,1,12261,1,0,0,2125
-113.921101,56.745093,981465.9,1.11,-69.83,100,17-Jul-67,0,0,1,603.81,3,1.05,-2.24,0.5,1967006,1,12460,1,0,0,2542
-114.052779,56.781759,981464.7,1.11,-71.09,100,17-Jul-67,0,0,1,619.05,3,1.05,-1.79,0.5,1967006,1,12461,1,0,0,2550
-114.72948,56.710095,981429.4,1.11,-87.08,100,17-Jul-67,0,0,1,687.02,3,1.05,-10.17,0.5,1967006,1,12485,1,0,0,1955
-114.551139,56.760094,981438.7,1.11,-79.84,100,17-Jul-67,0,0,1,697.69,3,1.05,-1.73,0.5,1967006,1,12486,1,0,0,2004
-114.626143,56.805095,981434.6,1.11,-83.61,100,22-Jul-67,0,0,1,718.41,3,1.05,-3.19,0.5,1967006,1,12521,1,0,0,1537
-114.771152,56.81843,981422.4,1.11,-95.48,100,22-Jul-67,0,0,1,725.73,3,1.05,-14.24,0.5,1967006,1,12522,1,0,0,1545
-115.001176,56.825099,981452.5,1.11,-96.89,100,22-Jul-67,0,0,1,568.15,3,1.05,-33.28,0.5,1967006,1,12523,1,0,0,1600
-115.199538,56.928427,981495.8,1.11,-80.91,100,22-Jul-67,0,0,1,472.74,3,1.05,-27.98,0.5,1967006,1,12524,1,0,0,1615
-115.232872,56.833424,981485.1,1.11,-79.65,100,22-Jul-67,0,0,1,493.47,3,1.05,-24.41,0.5,1967006,1,12544,1,0,0,2120
-114.217789,56.853425,981477.8,1.11,-68.25,100,20-Jul-67,0,0,1,597.1,3,1.05,-1.41,0.5,1967006,1,14457,1,0,0,1557
-113.974446,56.87676,981495.8,1.11,-66.32,100,20-Jul-67,0,0,1,525.17,3,1.05,-7.53,0.5,1967006,1,14458,1,0,0,1607
-113.579406,56.760091,981504.7,1.11,-55.75,100,17-Jul-67,0,0,1,484.33,3,1.05,-1.53,0.5,1967006,1,14422,1,0,0,2600
-113.706089,56.915091,981506.5,1.11,-58.98,100,20-Jul-67,0,0,1,524.26,3,1.05,-0.29,0.5,1967006,1,14459,1,0,0,1620
-113.414388,56.886759,981505.4,1.11,-56.65,100,20-Jul-67,0,0,1,529.74,3,1.05,2.65,0.5,1967006,1,14460,1,0,0,1632
-113.199384,56.866761,981502.3,1.11,-62.88,100,20-Jul-67,0,0,1,505.36,3,1.05,-6.31,0.5,1967006,1,14461,1,0,0,1642
-113.116045,56.775094,981485.1,1.11,-69.18,100,20-Jul-67,0,0,1,522.12,3,1.05,-10.72,0.5,1967006,1,14462,1,0,0,1653
-112.892702,56.715098,981490,1.11,-65.57,100,20-Jul-67,0,0,1,490.12,3,1.05,-10.7,0.5,1967006,1,14464,1,0,0,1716
-112.96937,56.805096,981492.2,1.11,-65.95,100,20-Jul-67,0,0,1,515.11,3,1.05,-8.28,0.5,1967006,1,14465,1,0,0,1726
-112.777688,56.820099,981497.5,1.11,-65.37,100,20-Jul-67,0,0,1,497.43,3,1.05,-9.68,0.5,1967006,1,14466,1,0,0,1736
