Bot-Hole Latitude (NAD27),Bot-Hole Longitude (NAD27),Bot-Hole Easting (NAD27),Bot-Hole Northing (NAD27),Well Unique Identifier
55.5438,-119.02481,372238.3,6156955.2,133
55.5438,-119.02481,372238.3,6156955.2,134
55.5438,-119.02481,372238.3,6156955.2,135
55.5438,-119.02481,372238.3,6156955.2,136
55.54681,-118.99008,374438.9,6157226.7,137
55.54681,-118.99008,374438.9,6157226.7,138
55.54681,-118.99008,374438.9,6157226.7,139
55.53764,-118.97744,375207.2,6156183.5,140
55.53764,-118.97744,375207.2,6156183.5,141
55.57653,-117.01528,499036.9,6158735.6,142
55.58472,-117.0146,499079.4,6159647,143
55.58801,-117.18119,488579.5,6160028.2,144
55.58895,-117.1812,488579.1,6160132.8,145
55.55894,-117.29141,481618.1,6156817,146
55.5622,-117.40969,474159.7,6157216.7,147
55.57596,-117.33336,478981.3,6158723.1,148
55.59052,-117.33243,479047.7,6160343.1,149
55.58845,-117.39139,475330.5,6160131.2,150
55.59489,-117.33989,478579.9,6160831.7,151
55.59312,-117.35027,477924.8,6160638,152
55.61285,-117.32366,479612.1,6162825.5,153
55.61625,-117.35939,477363.5,6163215,154
55.61625,-117.35939,477363.5,6163215,155
55.61569,-117.38031,476045.5,6163159.8,156
55.62768,-117.28657,481955.2,6164465.5,157
55.63277,-117.29168,481635.8,6165033.3,158
55.63277,-117.29168,481635.8,6165033.3,159
55.55799,-117.54587,465566.5,6156807.6,160
55.58546,-117.47776,469883.8,6159832.8,161
55.57908,-117.49767,468623.7,6159131.6,162
55.58685,-117.50211,468350.1,6159998.3,163
55.60694,-117.43522,472580.3,6162205.4,164
55.62096,-117.43215,472783.4,6163764.4,165
55.62096,-117.43215,472783.4,6163764.4,166
55.62308,-117.43674,472495.8,6164002.2,167
55.62308,-117.43674,472495.8,6164002.2,168
55.57164,-117.8603,445752.1,6158527,169
55.61875,-117.91607,442304.3,6163814.6,170
55.56773,-119.03751,371515.3,6159641.4,171
55.56773,-119.03751,371515.3,6159641.4,172
55.56773,-119.03751,371515.3,6159641.4,173
55.56773,-119.03751,371515.3,6159641.4,174
55.56773,-119.03751,371515.3,6159641.4,175
55.56773,-119.03751,371515.3,6159641.4,176
55.56057,-119.16587,363397.7,6159089,177
55.56057,-119.16587,363397.7,6159089,178
55.59826,-119.28475,356039,6163523.1,179
55.59826,-119.28475,356039,6163523.1,180
55.59826,-119.28475,356039,6163523.1,181
55.64132,-117.09432,494063,6165950,182
55.64132,-117.09432,494063,6165950,183
55.67319,-116.96287,502335.1,6169493.2,184
55.66152,-117.10948,493112.4,6168199.5,185
55.67233,-117.2272,485709.8,6169420.6,186
55.67204,-117.2092,486841.8,6169384.8,187
55.67737,-117.21834,486268.8,6169979.7,188
55.68613,-117.24108,484842.2,6170959.4,189
55.68613,-117.24108,484842.2,6170959.4,190
55.68712,-117.22051,486135.8,6171065.3,191
55.68712,-117.22051,486135.8,6171065.3,192
55.68771,-117.18291,488499.9,6171124,193
55.68771,-117.18291,488499.9,6171124,194
55.68771,-117.18291,488499.9,6171124,195
55.68596,-117.15617,490180.6,6170925.1,196
55.70433,-117.22986,485554.4,6172982.5,197
55.7196,-117.12004,492458.7,6174664.4,198
55.64873,-117.30447,480838.5,6166813,199
55.66318,-117.26513,483320.4,6168410.9,200
55.6478,-117.50182,468417.6,6166781,201
55.69331,-117.53165,466579.2,6171860.9,202
55.68699,-117.49264,469026.4,6171139.3,203
55.70147,-117.53518,466364.4,6172770.7,204
55.70999,-117.52769,466842.3,6173715.3,205
55.65988,-117.80355,449443.6,6168304.9,206
55.67076,-117.78697,450500.4,6169503.6,207
55.68608,-117.82705,448000,6171238,208
55.68608,-117.82705,448000,6171238,209
55.70614,-118.12487,429312.2,6173733.5,210
55.70614,-118.12487,429312.2,6173733.5,211
55.70614,-118.12487,429312.2,6173733.5,212
55.70614,-118.12487,429312.2,6173733.5,213
55.63927,-118.34282,415472.6,6166535.4,214
55.70354,-118.96561,376476.5,6174621.6,215
55.70354,-118.96561,376476.5,6174621.6,216
55.70354,-118.96561,376476.5,6174621.6,217
55.70354,-118.96561,376476.5,6174621.6,218
55.70354,-118.96561,376476.5,6174621.6,219
55.70354,-118.96561,376476.5,6174621.6,220
55.70146,-119.0551,370846.9,6174553.7,221
55.70146,-119.0551,370846.9,6174553.7,222
55.70146,-119.0551,370846.9,6174553.7,223
55.70146,-119.0551,370846.9,6174553.7,224
55.70146,-119.0551,370846.9,6174553.7,225
55.70146,-119.0551,370846.9,6174553.7,226
55.79457,-116.84545,509690.6,6183012.9,227
55.73737,-117.07765,495124.4,6176638.2,228
55.77294,-117.08141,494892.4,6180597.1,229
55.78021,-117.09126,494275.6,6181407,230
55.7798,-117.0791,495038.3,6181360.4,231
55.7798,-117.0791,495038.3,6181360.4,232
55.7798,-117.0791,495038.3,6181360.4,233
55.7798,-117.0791,495038.3,6181360.4,234
55.77989,-117.0789,495050.8,6181370.4,235
55.77989,-117.0789,495050.8,6181370.4,236
55.77387,-117.05323,496661,6180698.9,237
55.77766,-117.05426,496596.7,6181120.7,238
55.77975,-117.06736,495774.6,6181354,239
